x_error,y_error,z_error,rx_error,ry_error,rz_error
-3.355594958130882297e-03,-8.694738235879377261e-03,9.135709878623632374e-02,3.969686815400350587e-03,-5.038441458484040070e-03,1.206016512647104964e-03
-3.420978442926429341e-03,-8.664112346107918222e-03,8.815167430455572717e-02,3.954893533338672829e-03,-5.068308947993359695e-03,1.200841023986391667e-03
-3.527751359430061212e-03,-8.656811607243809423e-03,8.116526368999554819e-02,3.950238826387540876e-03,-5.119010147862227897e-03,1.196752644138199956e-03
-3.581639956236439600e-03,-8.676412623300409216e-03,7.579527157808618743e-02,3.960898902471793499e-03,-5.145584456430123653e-03,1.189177114172070915e-03
-3.581610222107079952e-03,-8.674721156889834278e-03,7.035804285567870409e-02,3.962438936602111390e-03,-5.144073645416862191e-03,1.187271620744148734e-03
-3.619669899438295382e-03,-8.683381463484523763e-03,6.585605999540700140e-02,3.969722954174150463e-03,-5.157759267678935049e-03,1.181962165512601181e-03
-3.542899421805169313e-03,-8.763339782662676186e-03,6.293521155908032849e-02,4.007778479725690630e-03,-5.117973111435224383e-03,1.185727911783425372e-03
-3.466587856247219969e-03,-8.739322105125107293e-03,6.171488366913902013e-02,3.995253591256862739e-03,-5.074785937991897755e-03,1.191442130535284210e-03
-3.367775756995154430e-03,-8.710220883410590628e-03,5.879114762223458523e-02,3.978475718615557231e-03,-5.023786718037038385e-03,1.192712008140286040e-03
-3.309197479199560074e-03,-8.638439415976389979e-03,5.739588059126687902e-02,3.941013120844310408e-03,-4.988108686454001059e-03,1.194099331935215324e-03
-3.224254588719652204e-03,-8.683955484920527490e-03,6.009332147614043773e-02,3.961745052725361427e-03,-4.941665437789764109e-03,1.188216794151274224e-03
-3.205815701750351285e-03,-8.762260950885648880e-03,6.111694063792350029e-02,3.994100851698543717e-03,-4.922729897460897952e-03,1.193913801433192602e-03
-3.180794750948882747e-03,-8.759818398272204223e-03,6.231994431223419895e-02,3.989634561539599257e-03,-4.902939559994790378e-03,1.196830300781423929e-03
-3.116175733218654736e-03,-8.841837824408543128e-03,6.618234355980279204e-02,4.022798089873700668e-03,-4.864863943429179917e-03,1.201730078724500906e-03
-3.098700123584525665e-03,-8.917979414281820144e-03,6.932857954966575864e-02,4.051551850802919026e-03,-4.850519133204653222e-03,1.203820806628318153e-03
-3.029770801634435254e-03,-8.898607548517487725e-03,7.264593731075408289e-02,4.037556919831211504e-03,-4.807416170368469452e-03,1.214523311810834436e-03
-2.989428981653393259e-03,-8.982825632023832413e-03,7.856731218133461425e-02,4.061500462137000549e-03,-4.776292997825712372e-03,1.232088112599001627e-03
-2.998242390679452685e-03,-8.959713508560496892e-03,8.205935130108155118e-02,4.039694474125028224e-03,-4.765357213941067566e-03,1.246636390517896851e-03
-2.992783667599467623e-03,-8.941812502842344523e-03,8.580339907698719681e-02,4.021693695210199967e-03,-4.750152667292344318e-03,1.264837428752577488e-03
-2.997913085019826302e-03,-8.896307883712015890e-03,9.068801806628512541e-02,3.993433028078049660e-03,-4.741885237797721121e-03,1.279238699932302471e-03
-3.013627030749104277e-03,-8.904198220672641939e-03,9.396113816769591232e-02,3.982901997323760532e-03,-4.743211160464583243e-03,1.298713213782488841e-03
-3.000047404297099315e-03,-8.946026669302633433e-03,9.784428076048756751e-02,3.990733556949849735e-03,-4.728778242835386669e-03,1.301357402393996977e-03
-2.989102403851146093e-03,-9.025048169986404217e-03,1.020482035022038936e-01,4.009777689953426816e-03,-4.718633164824582657e-03,1.323367382797863709e-03
-3.056876362471388445e-03,-9.004924068317855801e-03,1.034909538043743416e-01,3.994669661993482772e-03,-4.743880996577539907e-03,1.320434249298228216e-03
-3.117792703021568350e-03,-8.968025790296983366e-03,1.048326234332388474e-01,3.970417488272371710e-03,-4.767511897624240880e-03,1.321723144245552477e-03
-3.131142227854924551e-03,-9.001680411976794444e-03,1.094643174663441076e-01,3.980687644576684676e-03,-4.772600212390247856e-03,1.321076983446750923e-03
-3.143761644354099716e-03,-8.983679851697314728e-03,1.144871654031905939e-01,3.971641580577897103e-03,-4.776509430787547958e-03,1.322322406517510533e-03
-3.217278245622099981e-03,-9.087411889157209766e-03,1.201593962119247294e-01,4.020940081393148055e-03,-4.817375453767973326e-03,1.330873397890855458e-03
-3.300467854988905266e-03,-9.182630431864683557e-03,1.245019942265019885e-01,4.069147277909609776e-03,-4.861703592373539315e-03,1.326765993314687597e-03
-3.380702759269975637e-03,-9.338426521767403954e-03,1.287833857394776738e-01,4.141426270647394388e-03,-4.905385183450240195e-03,1.336883313101950481e-03
-3.379425502921407348e-03,-9.433973288284398101e-03,1.311629524019367610e-01,4.193146744645618630e-03,-4.898354829468722603e-03,1.328451659636379180e-03
-3.468213723723850318e-03,-9.599414605129434966e-03,1.331071861043187088e-01,4.271904965249406425e-03,-4.945058722030480983e-03,1.327334436289126680e-03
-3.483240336742211667e-03,-9.787504721501770477e-03,1.362525992959747745e-01,4.362462096671959610e-03,-4.969283393472146912e-03,1.328455761742757500e-03
-3.561125605911638625e-03,-9.967619849228972345e-03,1.378321000618929482e-01,4.450467926611217061e-03,-5.019490587942561539e-03,1.330861076570947739e-03
-3.616057449762649211e-03,-1.012985225695334224e-02,1.368694411615326567e-01,4.533438672907378134e-03,-5.051649149376907615e-03,1.329162698041181116e-03
-3.670045583110519323e-03,-1.019171424606977322e-02,1.358327045728459082e-01,4.569326902819219847e-03,-5.071522522494458472e-03,1.324174059751811799e-03
-3.608282060246769361e-03,-1.024109886853815168e-02,1.332342175365349712e-01,4.595668489655560691e-03,-5.032356042573923535e-03,1.322039285736484500e-03
-3.671192597094621781e-03,-1.029272520891283925e-02,1.298880459810803911e-01,4.628415572899066167e-03,-5.054798682305042430e-03,1.308966837252755573e-03
-3.807603628568348962e-03,-1.056149867072195964e-02,1.319322533888654947e-01,4.756719986886296173e-03,-5.119423778721320616e-03,1.294337092689829558e-03
-3.851785517948945383e-03,-1.075219250163788470e-02,1.317810275383968222e-01,4.851468090221838954e-03,-5.147540485353374606e-03,1.285725703656215475e-03
-3.919117558662352230e-03,-1.072837304962525121e-02,1.262039461700962262e-01,4.847148730636623160e-03,-5.177419772646009617e-03,1.279332568586616153e-03
-4.088396128893044025e-03,-1.093699266410491991e-02,1.261104954651155463e-01,4.947895078843262545e-03,-5.264553882716637573e-03,1.276667815767038115e-03
-4.133737598201865822e-03,-1.111309081133821791e-02,1.260621429772258439e-01,5.034879290626939966e-03,-5.291963459116418717e-03,1.275589849326212374e-03
-4.201912069960445778e-03,-1.119391127524111719e-02,1.236298473337740234e-01,5.076466654991533198e-03,-5.322943923077956205e-03,1.272676545679698405e-03
-4.171744879011314924e-03,-1.127097926724408318e-02,1.233976043650755194e-01,5.116348964647778920e-03,-5.306294652202854685e-03,1.266605847424593246e-03
-4.371082146961693775e-03,-1.155757599626454704e-02,1.258797291779918393e-01,5.253361121977094018e-03,-5.405147387855154147e-03,1.258688189306504711e-03
